family_id,title,historical_role,core_adoption,reason_code,reason,scope_decision,historical_locator,claim_ids
WF-0049,A Systematization of Security Vulnerabilities in Computer Use Agents,secondary_context,not_selected,S,Retained as a contextual candidate; not selected for the core survey-comparison claims.,not_reassessed_as_an_exclusion,PDF p.1; body context; pattern=memory_benchmark,
WF-0053,NaturalGAIA: A Verifiable Benchmark and Hierarchical Framework for Long-Horizon GUI Tasks,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.5; body context; pattern=memory_driven_context_evolution,
WF-0066,Instruction Agent: Enhancing Agent with Expert Demonstration,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.6; body context; pattern=recovery,
WF-0070,InfraMind: A Novel Exploration-based GUI Agentic Framework for Mission-critical Industrial Management,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.18; body context; pattern=recovery,
WF-0072,"Robust, Observable, and Evolvable Agentic Systems Engineering: A Principled Framework Validated via the Fairy GUI Agent",primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.12; body context; pattern=memory_architecture,
WF-0073,D-Artemis: A Deliberative Cognitive Framework for Mobile GUI Multi-Agents,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.5; body context; pattern=memory_types,
WF-0078,PAL-UI: Planning with Active Look-back for Vision-Based GUI Agents,primary_study,adopted,A,"Selected for page-anchored claims PC-003, PC-004.",see_claim_scope,PDF p.2; body context; pattern=memory_architecture,PC-003;PC-004
WF-0079,Agent-ScanKit: Unraveling Memory and Reasoning of Multimodal Agents via Sensitivity Perturbations,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.10; body context; pattern=memory_benchmark,
WF-0081,WALT: Web Agents that Learn Tools,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.6; body context; pattern=trajectory_reuse,
WF-0086,Watch and Learn: Learning to Use Computers from Online Videos,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.9; body context; pattern=context_management,
WF-0088,ReInAgent: A Context-Aware GUI Agent Enabling Human-in-the-Loop Mobile Task Navigation,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.5; body context; pattern=memory_architecture,
WF-0089,Auto-scaling Continuous Memory for GUI Agent,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.5; body context; pattern=memory_architecture,
WF-0095,Branch-and-Browse: Efficient and Controllable Web Exploration with Tree-Structured Reasoning and Action Memory,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.2; body context; pattern=memory_architecture,
WF-0097,OpenPhone: Mobile Agentic Foundation Models,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.3; body context; pattern=history_management,
WF-0098,WebATLAS: An LLM Agent with Experience-Driven Memory and Action Simulation,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.1; body context; pattern=memory_architecture,
WF-0099,MGA: Memory-Driven GUI Agent for Observation-Centric Interaction,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.5; body context; pattern=trajectory_reuse,
WF-0100,AgentFold: Long-Horizon Web Agents with Proactive Context Management,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.1; body context; pattern=context_management,
WF-0101,GUI-Rise: Structured Reasoning and History Summarization for GUI Navigation,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.10; body context; pattern=context_management,
WF-0106,WebCoach: Self-Evolving Web Agents with Cross-Session Memory Guidance,primary_study,adopted,A,Selected for page-anchored claims PC-011.,see_claim_scope,PDF p.2; body context; pattern=experience_reuse,PC-011
WF-0109,Training High-Level Schedulers with Execution-Feedback Reinforcement Learning for Long-Horizon GUI Automation,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.2; body context; pattern=context_management,
WF-0118,EchoTrail-GUI: Building Actionable Memory for GUI Agents via Critic-Guided Self-Exploration,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.3; body context; pattern=memory_architecture,
WF-0123,ColorBrowserAgent: Complex Long-Horizon Browser Agent with Adaptive Knowledge Evolution,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.2; body context; pattern=history_management,
WF-0130,MAGNET: Towards Adaptive GUI Agents with Memory-Driven Knowledge Evolution,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.6; body context; pattern=memory_benchmark,
WF-0131,CUA-Skill: Develop Skills for Computer Using Agent,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.7; body context; pattern=history_management,
WF-0134,Darwinian Memory: A Training-Free Self-Regulating Memory System for GUI Agent Evolution,primary_study,adopted,A,"Selected for page-anchored claims PC-007, PC-008.",see_claim_scope,PDF p.2; body context; pattern=memory_architecture,PC-007;PC-008
WF-0136,Avenir-Web: Human-Experience-Imitating Multimodal Web Agents with Mixture of Grounding Experts,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.6; body context; pattern=history_management,
WF-0139,UI-Mem: Self-Evolving Experience Memory for Online Reinforcement Learning in Mobile GUI Agents,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.2; body context; pattern=experience_reuse,
WF-0140,MemGUI-Bench: Benchmarking Memory of Mobile GUI Agents in Dynamic Environments,primary_study,adopted,A,"Selected for page-anchored claims PC-053, PC-054.",see_claim_scope,PDF p.1; body context; pattern=memory_benchmark,PC-053;PC-054
WF-0142,Next-Gen CAPTCHAs: Leveraging the Cognitive Gap for Scalable and Diverse GUI-Agent Defense,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.9; body context; pattern=memory_benchmark,
WF-0148,WebClipper: Efficient Evolution of Web Agents with Graph-based Trajectory Pruning,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.2; body context; pattern=context_management,
WF-0154,Mobile-Agent-v3.5: Multi-platform Fundamental GUI Agents,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.9; body context; pattern=memory_architecture,
WF-0156,ActionEngine: From Reactive to Programmatic GUI Agents via State Machine Memory,primary_study,adopted,A,Selected for page-anchored claims PC-017.,see_claim_scope,PDF p.3; body context; pattern=memory_architecture,PC-017
WF-0164,M$^2$: Dual-Memory Augmentation for Long-Horizon Web Agents via Trajectory Summarization and Insight Retrieval,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.2; body context; pattern=context_management,
WF-0166,PlugMem: A Task-Agnostic Plugin Memory Module for LLM Agents,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.32; body context; pattern=memory_benchmark,
WF-0168,STRUCTUREDAGENT: Planning with AND/OR Trees for Long-Horizon Web Tasks,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.1; body context; pattern=memory_architecture,
WF-0169,Enhancing Web Agents with a Hierarchical Memory Tree,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.1; body context; pattern=history_management,
WF-0172,Hybrid Self-evolving Structured Memory for GUI Agents,primary_study,adopted,A,"Selected for page-anchored claims PC-009, PC-010.",see_claim_scope,PDF p.3; body context; pattern=memory_architecture,PC-009;PC-010
WF-0179,AndroTMem: From Interaction Trajectories to Anchored Memory in Long-Horizon GUI Agents,primary_study,adopted,A,"Selected for page-anchored claims PC-051, PC-052.",see_claim_scope,PDF p.1; body context; pattern=memory_benchmark,PC-051;PC-052
WF-0181,A Subgoal-driven Framework for Improving Long-Horizon LLM Agents,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.12; body context; pattern=recovery,
WF-0186,Vision2Web: A Hierarchical Benchmark for Visual Website Development with Agent Verification,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.8; body context; pattern=persistent_state,
WF-0187,AgentSwing: Adaptive Parallel Context Management Routing for Long-Horizon Web Agents,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.2; body context; pattern=context_management,
WF-0190,"Poison Once, Exploit Forever: Environment-Injected Memory Poisoning Attacks on Web Agents",primary_study,adopted,A,Selected for page-anchored claims PC-031.,see_claim_scope,PDF p.9; body context; pattern=memory_architecture,PC-031
WF-0193,Gym-Anything: Turn any Software into an Agent Environment,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.6; body context; pattern=memory_benchmark,
WF-0195,VenusBench-Mobile: A Challenging and User-Centric Benchmark for Mobile GUI Agents with Capability Diagnostics,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.7; body context; pattern=memory_benchmark,
WF-0199,"ClawGUI: A Unified Framework for Training, Evaluating, and Deploying GUI Agents",primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.6; body context; pattern=memory_architecture,
WF-0202,WebXSkill: Skill Learning for Autonomous Web Agents,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.9; body context; pattern=context_management,
WF-0204,UI-Copilot: Advancing Long-Horizon GUI Automation via Tool-Integrated Policy Optimization,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.2; body context; pattern=history_management,
WF-0205,"SkillDroid: Compile Once, Reuse Forever",primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.2; body context; pattern=experience_reuse,
WF-0207,Mango: Multi-Agent Web Navigation via Global-View Optimization,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.1; body context; pattern=memory_architecture,
WF-0208,Human-Guided Harm Recovery for Computer Use Agents,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.2; body context; pattern=recovery,
WF-0215,Step-level Optimization for Efficient Computer-use Agents,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.3; body context; pattern=history_management,
WF-0216,GUI Agents with Reinforcement Learning: Toward Digital Inhabitants,secondary_context,not_selected,S,Retained as a contextual candidate; not selected for the core survey-comparison claims.,not_reassessed_as_an_exclusion,PDF p.15; body context; pattern=experience_reuse,
WF-0219,Securing Computer-Use Agents: A Unified Architecture-Lifecycle Framework for Deployment-Grounded Reliability,secondary_context,not_selected,S,Retained as a contextual candidate; not selected for the core survey-comparison claims.,not_reassessed_as_an_exclusion,PDF p.2; body context; pattern=recovery,
WF-0221,WebTrap: Stealthy Mid-Task Hijacking of Browser Agents During Navigation,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.4; body context; pattern=history_management,
WF-0222,Mem-W: Latent Memory-Native GUI Agents,primary_study,adopted,A,Selected for page-anchored claims PC-012.,see_claim_scope,PDF p.1; body context; pattern=history_management,PC-012
WF-0224,Executable Agentic Memory for GUI Agent,primary_study,adopted,A,Selected for page-anchored claims PC-018.,see_claim_scope,PDF p.2; body context; pattern=memory_architecture,PC-018
WF-0225,LongMemEval-V2: Evaluating Long-Term Agent Memory Toward Experienced Colleagues,primary_study,adopted,A,Selected for page-anchored claims PC-055.,see_claim_scope,PDF p.3; body context; pattern=memory_architecture,PC-055
WF-0226,MMSkills: Towards Multimodal Skills for General Visual Agents,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.4; body context; pattern=skill_reuse,
WF-0231,SE-GA: Memory-Augmented Self-Evolution for GUI Agents,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.8; body context; pattern=memory_architecture,
WF-0233,TClone: Low-Latency Forking of Live GUI Environments for Computer-Use Agents,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.1; body context; pattern=recovery,
WF-0235,MementoGUI: Learning Agentic Multimodal Memory Control for Long-Horizon GUI Agents,primary_study,adopted,A,"Selected for page-anchored claims PC-013, PC-069, PC-070.",see_claim_scope,PDF p.2; body context; pattern=memory_architecture,PC-013;PC-069;PC-070
WF-0241,MemGym: a Long-Horizon Memory Environment for LLM Agents,primary_study,adopted,A,Selected for page-anchored claims PC-056.,see_claim_scope,PDF p.3; body context; pattern=memory_architecture,PC-056
WF-0242,DRIVE: Modeling Skills at the Reasoning and Interaction Levels for Web Agents under Continual Learning,primary_study,adopted,A,Selected for page-anchored claims PC-019.,see_claim_scope,PDF p.3; body context; pattern=experience_reuse,PC-019
WF-0243,PANDO: Efficient Multimodal AI Agents via Online Skill Distillation,primary_study,adopted,A,Selected for page-anchored claims PC-020.,see_claim_scope,PDF p.3; body context; pattern=memory_benchmark,PC-020
WF-0246,MobileExplorer: Accelerating On-Device Inference for Mobile GUI Agents via Online Exploration,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.2; body context; pattern=recovery,
WF-0249,MaskClaw: Edge-Side Personalized Privacy Arbitration for GUI Agents with Behavior-Driven Skill Evolution,primary_study,adopted,A,"Selected for page-anchored claims PC-029, PC-030.",see_claim_scope,PDF p.6; body context; pattern=context_management,PC-029;PC-030
WF-0253,STAMP: Training Explicit Memory for Mobile GUI Agents in Controllable and Scalable Virtual Environments,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.1; body context; pattern=memory_benchmark,
WF-0257,Agent Skills Should Go Beyond Text: The Case for Visual Skills,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.7; body context; pattern=memory_benchmark,
WF-0263,Online Skill Learning for Web Agents via State-Grounded Dynamic Retrieval,primary_study,adopted,A,Selected for page-anchored claims PC-021.,see_claim_scope,PDF p.6; body context; pattern=experience_reuse,PC-021
WF-0264,AsyncWebRL: Efficient Asynchronous Reinforcement Learning for Multi-Step Visual Web Agents,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.8; body context; pattern=memory_architecture,
WF-0266,StainFlow: Entity-Stain Tracking and Evidence Linking for Process Rewards in GUI Agents,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.2; body context; pattern=history_management,
WF-0270,WebChallenger: A Reliable and Efficient Generalist Web Agent,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.3; body context; pattern=history_management,
WF-0271,MemVenom: Triggered Poisoning of Multimodal Memories in Web Agents,primary_study,adopted,A,Selected for page-anchored claims PC-032.,see_claim_scope,PDF p.7; body context; pattern=memory_architecture,PC-032
WF-0273,A History-Aware Visually Grounded Critic for Computer Use Agents,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.19; body context; pattern=memory_types,
WF-0276,Naive Visual Memory is Not Enough: A Failure-Mode Study of GUI Agents,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.4; body context; pattern=memory_architecture,
WF-0277,Are Online Skill and Memory Modules Always Worth Their Tokens? A Budget-Constrained Study of Web Agents,primary_study,adopted,A,"Selected for page-anchored claims PC-057, PC-058, PC-072.",see_claim_scope,PDF p.18; body context; pattern=memory_architecture,PC-057;PC-058;PC-072
WF-0278,Where Did It Go Wrong? Process-Level Evaluation of Web Agents with Semantic State Tracking,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.5; body context; pattern=trajectory_reuse,
WF-0280,LabOSBench: Benchmarking Computer Use Agents for Scientific Instrument Control,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.13; body context; pattern=memory_benchmark,
WF-0281,Beyond Domains: Reusing Web Skills via Transferable Interaction Patterns,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.5; body context; pattern=trajectory_reuse,
WF-0282,VISUALSKILL: Multimodal Skills for Computer-Use Agents,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.2; body context; pattern=skill_inference,
WF-0283,MemGUI-Agent: An End-to-End Long-Horizon Mobile GUI Agent with Proactive Context Management,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.1; body context; pattern=context_management,
WF-0286,SkillHarness: Harnessing Safe Skills for Computer-Use Agents,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.4; body context; pattern=skill_reuse,
WF-0287,When Web Agents Finish but Still Fail: Reproducible Triggers and Trace Diagnostics for Parallel Web Exploration,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.3; body context; pattern=trajectory_reuse,
WF-0292,VisCritic: Visual State Comparison as Process Reward for GUI Agents,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.7; body context; pattern=recovery,
WF-0298,What Memory Do GUI Agents Really Need? From Passive Records to Active Task-Driving States,primary_study,adopted,A,Selected for page-anchored claims PC-016.,see_claim_scope,PDF p.3; body context; pattern=memory_architecture,PC-016
WF-0299,Scalable Behaviour Cloning on Browser Using via Skill Distillation,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.2; body context; pattern=context_management,
WF-0300,A Task-State Representation for Long-Horizon Mobile GUI Agents,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.4; body context; pattern=history_management,
WF-0306,PersonaTrail: Benchmarking Personalized Web Agents through Browsing Trails,primary_study,adopted,A,"Selected for page-anchored claims PC-022, PC-023.",see_claim_scope,PDF p.3; body context; pattern=history_management,PC-022;PC-023
WF-0307,Beyond Sequential Interaction: Benchmarking Parallel Execution and Coordination for GUI Agents,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.5; body context; pattern=history_management,
WF-0308,"StateAct: Program State, before Pixels, for Long-Horizon Computer-Use Agents",primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.1; body context; pattern=context_management,
WF-0310,Falsifiable Commitment Planning for Self-Correcting Web Agents,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.14; body context; pattern=experience_reuse,
WF-0313,Qwen-UI-Agent Technical Report: Toward Next-Generation Real-World Centric Foundation GUI Agents,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.19; body context; pattern=persistent_state,
WF-0317,"FocusMem: Factorizing Content, Readout, and Trust in Latent GUI Memory",primary_study,adopted,A,Selected for page-anchored claims PC-014.,see_claim_scope,PDF p.3; body context; pattern=trajectory_reuse,PC-014
WF-0319,Activity Frames: Deterministic Screen-Activity Compilation for Agent Memory and Replay,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.1; body context; pattern=memory_types,
WF-0325,SkillLens: Visual Skill Cards for Retrieval-Augmented GUI Action Prediction and On-Policy Distillation,primary_study,not_selected,N,Retained as a candidate; not selected for claim-level extraction in this bounded framework synthesis.,not_reassessed_as_an_exclusion,PDF p.2; body context; pattern=memory_architecture,
