source_id,canonical_id,title,authors,year,doi,arxiv_id,sha256,metadata_status,role,scope_note,pdf_version,pdf_version_date,source_url,venue,bib_type,local_evidence_filename
WF-0039,WF-0039,Reflection-Based Memory For Web navigation Agents,Ruhana Azam and Aditya Vempaty and Ashish Jagmohan,2025,,2506.02158,b6b60806d5f2b974281033be0ce0a9573fd26a60279134a59f6361895735c48d,arxiv_identity_checked,candidate_reference,未有新主张的条目只作候选入口；旧纳入标签不作为正式论断依据,2506.02158v1,2 Jun 2025,https://arxiv.org/abs/2506.02158v1,,misc,REC-000039.pdf
WF-0040,WF-0040,VerificAgent: Domain-Specific Memory Verification for Scalable Oversight of Aligned Computer-Use Agents,Thong Q. Nguyen and Shubhang Desai and Raja Hasnain Anwar and Firoz Shaik and Vishwas Suryanarayanan and Vishal Chowdhary,2025,,2506.02539,385de717c31cc657811299999b17798bf9ded0f6977b1e998b3eb169f79004c9,arxiv_identity_checked,primary_mechanism,仅 claims.json 明确提取的主张准入；未提取的单元格保持未知,2506.02539v3,7 Aug 2025,https://arxiv.org/abs/2506.02539v3,,misc,REC-000040.pdf
WF-0042,WF-0042,Mirage-1: Augmenting and Updating GUI Agent with Hierarchical Multimodal Skills,Yuquan Xie and Zaijing Li and Rui Shao and Gongwei Chen and Kaiwen Zhou and Yinchuan Li and Dongmei Jiang and Liqiang Nie,2025,,2506.10387,1754c4f27c5fd3fd6be1163afb012db8204e13cb019155a8c7c1fd9d4dad8445,arxiv_identity_checked,candidate_reference,未有新主张的条目只作候选入口；旧纳入标签不作为正式论断依据,2506.10387v1,12 Jun 2025,https://arxiv.org/abs/2506.10387v1,,misc,REC-000042.pdf
WF-0045,WF-0045,Context manipulation attacks : Web agents are susceptible to corrupted memory,Atharv Singh Patlan and Ashwin Hebbar and Pramod Viswanath and Prateek Mittal,2025,,2506.17318,ecfd57f097a6a4d0ae1876fa0075e41bb9e5ef814b5b74af72f56175ad576fc3,arxiv_identity_checked,candidate_reference,未有新主张的条目只作候选入口；旧纳入标签不作为正式论断依据,2506.17318v1,18 Jun 2025,https://arxiv.org/abs/2506.17318v1,,misc,REC-000045.pdf
WF-0046,WF-0046,Chain-of-Memory: Enhancing GUI Agents for Cross-Application Navigation,Xinzge Gao and Chuanrui Hu and Bin Chen and Teng Li,2025,,2506.18158,ed84d6e65eddc6d835b1320b57dbc6a3ca9d36843f5109b12599e0c1f69db52f,arxiv_identity_checked,primary_mechanism,仅 claims.json 明确提取的主张准入；未提取的单元格保持未知,2506.18158v1,22 Jun 2025,https://arxiv.org/abs/2506.18158v1,,misc,REC-000046.pdf
WF-0047,WF-0047,LineRetriever: Planning-Aware Observation Reduction for Web Agents,Imene Kerboua and Sahar Omidi Shayegan and Megh Thakkar and Xing Han Lù and Massimo Caccia and Véronique Eglin and Alexandre Aussem and Jérémy Espinas and Alexandre Lacoste,2025,,2507.00210,a58a7593e0ad8fcb8b33ea874204f5dcac69ba83b50742d803dcd8ef526a80b3,arxiv_identity_checked,candidate_reference,未有新主张的条目只作候选入口；旧纳入标签不作为正式论断依据,2507.00210v1,30 Jun 2025,https://arxiv.org/abs/2507.00210v1,,misc,REC-000047.pdf
WF-0048,WF-0048,WebArXiv: Evaluating Multimodal Agents on Time-Invariant arXiv Tasks,Zihao Sun and Ling Chen,2025,,2507.00938,339d739193b4752c244ebc8d65dd1c0aca21b2edc05747995ea07c280c336b3d,arxiv_identity_checked,candidate_reference,未有新主张的条目只作候选入口；旧纳入标签不作为正式论断依据,2507.00938v2,13 Aug 2025,https://arxiv.org/abs/2507.00938v2,,misc,REC-000048.pdf
WF-0049,WF-0049,A Systematization of Security Vulnerabilities in Computer Use Agents,Daniel Jones and Giorgio Severi and Martin Pouliot and Gary Lopez and Joris de Gruyter and Santiago Zanella-Beguelin and Justin Song and Blake Bullwinkel and Pamela Cortez and Amanda Minnich,2025,,2507.05445,45f4f3ceb7e19b7dacfb8b951abf0a1519006ecd32386c094ee916235079a956,arxiv_identity_checked,secondary_context,未有新主张的条目只作候选入口；旧纳入标签不作为正式论断依据,2507.05445v1,7 Jul 2025,https://arxiv.org/abs/2507.05445v1,,misc,REC-000049.pdf
WF-0053,WF-0053,NaturalGAIA: A Verifiable Benchmark and Hierarchical Framework for Long-Horizon GUI Tasks,Zihan Zheng and Tianle Cui and Taoran Wang and Fengtao Wang and Jiahui Pan and Lewei He and Qianglong Chen,2025,,2508.01330,f1ef43be501f9f18b6687035095a01ddf554f69444d67dd9fd050b55f3e963f7,arxiv_identity_checked,candidate_reference,未有新主张的条目只作候选入口；旧纳入标签不作为正式论断依据,2508.01330v4,20 Apr 2026,https://arxiv.org/abs/2508.01330v4,,misc,REC-000053.pdf
WF-0066,WF-0066,Instruction Agent: Enhancing Agent with Expert Demonstration,Yinheng Li and Hailey Hultquist and Justin Wagle and Kazuhito Koishida,2025,,2509.07098,6f771e6635298188d2c9d031cc4cf811262dff08d1265e0851c908e5bf034947,arxiv_identity_checked,candidate_reference,未有新主张的条目只作候选入口；旧纳入标签不作为正式论断依据,2509.07098v1,8 Sep 2025,https://arxiv.org/abs/2509.07098v1,,misc,REC-000066.pdf
WF-0070,WF-0070,InfraMind: A Novel Exploration-based GUI Agentic Framework for Mission-critical Industrial Management,Liangtao Lin and Zhaomeng Zhu and Tianwei Zhang and Yonggang Wen,2025,,2509.13704,aabcecb25023e696a4d5385f0c2e0890ce2bc6494d58d2252fa3156a1c2c5eb3,arxiv_identity_checked,candidate_reference,未有新主张的条目只作候选入口；旧纳入标签不作为正式论断依据,2509.13704v1,17 Sep 2025,https://arxiv.org/abs/2509.13704v1,,misc,REC-000070.pdf
WF-0072,WF-0072,"Robust, Observable, and Evolvable Agentic Systems Engineering: A Principled Framework Validated via the Fairy GUI Agent",Jiazheng Sun and Ruimeng Yang and Xu Han and Jiayang Niu and Mingxuan Li and Te Yang and Yongyong Lu and Xin Peng,2025,,2509.20729,a06c2c194749827830f870303605b681f9e61e9654a22a444db9ee6e605e069e,arxiv_identity_checked,candidate_reference,未有新主张的条目只作候选入口；旧纳入标签不作为正式论断依据,2509.20729v2,1 Dec 2025,https://arxiv.org/abs/2509.20729v2,,misc,REC-000072.pdf
WF-0073,WF-0073,D-Artemis: A Deliberative Cognitive Framework for Mobile GUI Multi-Agents,Hongze Mi and Yibo Feng and Wenjie Lu and Yuqi Wang and Jinyuan Li and Song Cao and He Cui and Tengfei Tian and Xuelin Zhang and Haotian Luo and Di Sun and Jun Fang and Hua Chai and Naiqiang Tan and Gang Pan,2025,,2509.21799,caa230ce03732d4ebf762d8f8adad577d7a447a7dc18bef45caa45a457cc4922,arxiv_identity_checked,candidate_reference,未有新主张的条目只作候选入口；旧纳入标签不作为正式论断依据,2509.21799v3,7 Jan 2026,https://arxiv.org/abs/2509.21799v3,,misc,REC-000073.pdf
WF-0078,WF-0078,PAL-UI: Planning with Active Look-back for Vision-Based GUI Agents,Zikang Liu and Junyi Li and Wayne Xin Zhao and Dawei Gao and Yaliang Li and Ji-rong Wen,2025,,2510.00413,8f716140b8dc53e4e28ec66d8ed900816a521c96a874eb2c8dbad276b6972cc8,arxiv_identity_checked,primary_mechanism,仅 claims.json 明确提取的主张准入；未提取的单元格保持未知,2510.00413v2,4 Oct 2025,https://arxiv.org/abs/2510.00413v2,,misc,REC-000078.pdf
WF-0079,WF-0079,Agent-ScanKit: Unraveling Memory and Reasoning of Multimodal Agents via Sensitivity Perturbations,Pengzhou Cheng and Lingzhong Dong and Zeng Wu and Zongru Wu and Xiangru Tang and Chengwei Qin and Zhuosheng Zhang and Gongshen Liu,2025,,2510.00496,df8408026bafa1019d979b16246816847926883575e7dd124f694fa38d228454,arxiv_identity_checked,candidate_reference,未有新主张的条目只作候选入口；旧纳入标签不作为正式论断依据,2510.00496v3,3 Oct 2025,https://arxiv.org/abs/2510.00496v3,,misc,REC-000079.pdf
WF-0081,WF-0081,WALT: Web Agents that Learn Tools,Viraj Prabhu and Yutong Dai and Matthew Fernandez and Jing Gu and Krithika Ramakrishnan and Yanqi Luo and Silvio Savarese and Caiming Xiong and Junnan Li and Zeyuan Chen and Ran Xu,2025,,2510.01524,f2688fa55021641f556839cdb01a943cccd836f08a03ee8bdd468cb3ec4db630,arxiv_identity_checked,candidate_reference,未有新主张的条目只作候选入口；旧纳入标签不作为正式论断依据,2510.01524v1,1 Oct 2025,https://arxiv.org/abs/2510.01524v1,,misc,REC-000081.pdf
WF-0086,WF-0086,Watch and Learn: Learning to Use Computers from Online Videos,Chan Hee Song and Yiwen Song and Palash Goyal and Yu Su and Oriana Riva and Hamid Palangi and Tomas Pfister,2025,,2510.04673,b3ff23fa08fb1715047b57b7b8d5963bc27c501a24567130ad19373698b9fc24,arxiv_identity_checked,candidate_reference,未有新主张的条目只作候选入口；旧纳入标签不作为正式论断依据,2510.04673v3,16 Mar 2026,https://arxiv.org/abs/2510.04673v3,,misc,REC-000086.pdf
WF-0088,WF-0088,ReInAgent: A Context-Aware GUI Agent Enabling Human-in-the-Loop Mobile Task Navigation,Haitao Jia and Ming He and Zimo Yin and Likang Wu and Jianping Fan and Jitao Sang,2025,,2510.07988,e29833ba82af53958ee54c94bb7c2e3f5b2cc6a37ee57a1a044d4a5daa10f1b2,arxiv_identity_checked,candidate_reference,未有新主张的条目只作候选入口；旧纳入标签不作为正式论断依据,2510.07988v1,9 Oct 2025,https://arxiv.org/abs/2510.07988v1,,misc,REC-000088.pdf
WF-0089,WF-0089,Auto-scaling Continuous Memory for GUI Agent,Wenyi Wu and Kun Zhou and Ruoxin Yuan and Vivian Yu and Stephen Wang and Zhiting Hu and Biwei Huang,2025,,2510.09038,f4ba4e33611030c3d0a33f2fe85e7b5620ccb8ae564a9a7a9ecd451c2f04b965,arxiv_identity_checked,candidate_reference,未有新主张的条目只作候选入口；旧纳入标签不作为正式论断依据,2510.09038v1,10 Oct 2025,https://arxiv.org/abs/2510.09038v1,,misc,REC-000089.pdf
WF-0095,WF-0095,Branch-and-Browse: Efficient and Controllable Web Exploration with Tree-Structured Reasoning and Action Memory,Shiqi He and Yue Cui and Xinyu Ma and Yaliang Li and Bolin Ding and Mosharaf Chowdhury,2025,,2510.19838,739a03cdff04aa2880a7a4cb7c23f4d3feafe199a25ad30db56b969ead78d444,arxiv_identity_checked,candidate_reference,未有新主张的条目只作候选入口；旧纳入标签不作为正式论断依据,2510.19838v2,16 Jun 2026,https://arxiv.org/abs/2510.19838v2,,misc,REC-000095.pdf
WF-0097,WF-0097,OpenPhone: Mobile Agentic Foundation Models,Yangqin Jiang and Chao Huang,2025,,2510.22009,9e2b78bb47f19d794ebd8622eec24579b31813f5faae53619107b85e25b5dad8,arxiv_identity_checked,candidate_reference,未有新主张的条目只作候选入口；旧纳入标签不作为正式论断依据,2510.22009v2,7 Feb 2026,https://arxiv.org/abs/2510.22009v2,,misc,REC-000097.pdf
WF-0098,WF-0098,WebATLAS: An LLM Agent with Experience-Driven Memory and Action Simulation,Jiali Cheng and Anjishnu Kumar and Roshan Lal and Rishi Rajasekaran and Hani Ramezani and Omar Zia Khan and Oleg Rokhlenko and Sunny Chiu-Webster and Gang Hua and Hadi Amiri,2025,,2510.22732,a5df4ad6a94c90da687a5e4a2b20fafa06673c6887bfdfef0784c5d2139d6376,arxiv_identity_checked,candidate_reference,未有新主张的条目只作候选入口；旧纳入标签不作为正式论断依据,2510.22732v2,19 Dec 2025,https://arxiv.org/abs/2510.22732v2,,misc,REC-000098.pdf
WF-0099,WF-0099,MGA: Memory-Driven GUI Agent for Observation-Centric Interaction,Weihua Cheng and Junming Liu and Yifei Sun and Botian Shi and Yirong Chen and Ding Wang,2025,,2510.24168,b9a561d0a7913273611fa97f2a013e5dae978caa1c624017b192e3df94bd5d22,arxiv_identity_checked,candidate_reference,未有新主张的条目只作候选入口；旧纳入标签不作为正式论断依据,2510.24168v3,14 Apr 2026,https://arxiv.org/abs/2510.24168v3,,misc,REC-000099.pdf
WF-0100,WF-0100,AgentFold: Long-Horizon Web Agents with Proactive Context Management,Rui Ye and Zhongwang Zhang and Kuan Li and Huifeng Yin and Zhengwei Tao and Yida Zhao and Liangcai Su and Liwen Zhang and Zile Qiao and Xinyu Wang and Pengjun Xie and Fei Huang and Siheng Chen and Jingren Zhou and Yong Jiang,2025,,2510.24699,87a0f274e46cc47da4fa50e308c2e9cc09baf9bf382e5a090acfb2910d286ed1,arxiv_identity_checked,candidate_reference,未有新主张的条目只作候选入口；旧纳入标签不作为正式论断依据,2510.24699v1,28 Oct 2025,https://arxiv.org/abs/2510.24699v1,,misc,REC-000100.pdf
WF-0101,WF-0101,GUI-Rise: Structured Reasoning and History Summarization for GUI Navigation,Tao Liu and Chongyu Wang and Rongjie Li and Yingchen Yu and Xuming He and Bai Song,2025,,2510.27210,30ec1ef34c0fec3b88bc0986e4255e6d576c189aaac6a6660080deb004138cef,arxiv_identity_checked,candidate_reference,未有新主张的条目只作候选入口；旧纳入标签不作为正式论断依据,2510.27210v1,31 Oct 2025,https://arxiv.org/abs/2510.27210v1,,misc,REC-000101.pdf
WF-0106,WF-0106,WebCoach: Self-Evolving Web Agents with Cross-Session Memory Guidance,Genglin Liu and Shijie Geng and Sha Li and Hejie Cui and Sarah Zhang and Xin Liu and Tianyi Liu,2025,,2511.12997,c6116ae33a8e5607598ce540fbabd343bea0ea7533dc9c99bc93d3e367b17941,arxiv_identity_checked,primary_mechanism,仅 claims.json 明确提取的主张准入；未提取的单元格保持未知,2511.12997v2,22 Jul 2026,https://arxiv.org/abs/2511.12997v2,,misc,REC-000106.pdf
WF-0109,WF-0109,Training High-Level Schedulers with Execution-Feedback Reinforcement Learning for Long-Horizon GUI Automation,Zehao Deng and Tianjie Ju and Zheng Wu and Zhuosheng Zhang and Gongshen Liu,2025,,2511.22235,ecf95c70eda162d3e9ea03239b67f2d0bff64d915764b06ee1f493c94f9a3c8c,arxiv_identity_checked,candidate_reference,未有新主张的条目只作候选入口；旧纳入标签不作为正式论断依据,2511.22235v2,4 Mar 2026,https://arxiv.org/abs/2511.22235v2,,misc,REC-000109.pdf
WF-0118,WF-0118,EchoTrail-GUI: Building Actionable Memory for GUI Agents via Critic-Guided Self-Exploration,Runze Li and Yuwen Zhai and Bo Xu and LiWu Xu and Nian Shi and Wei Zhang and Ran Lin and Liang Wang,2025,,2512.19396,55632189ba8df42a72cef73f84090827850c4ba9195c00ff7f55476c8ed1106b,arxiv_identity_checked,candidate_reference,未有新主张的条目只作候选入口；旧纳入标签不作为正式论断依据,2512.19396v3,10 Apr 2026,https://arxiv.org/abs/2512.19396v3,,misc,REC-000118.pdf
WF-0123,WF-0123,ColorBrowserAgent: Complex Long-Horizon Browser Agent with Adaptive Knowledge Evolution,Jihong Wang and Jiamu Zhou and Weiming Zhang and Teng Wang and Weiwen Liu and Zhuosheng Zhang and Xingyu Lou and Weinan Zhang and Huarong Deng and Jun Wang,2026,,2601.07262,1fec23bb431fc7d49d652be98e80d574f2d9200e823bb694362137be93955770,arxiv_identity_checked,candidate_reference,未有新主张的条目只作候选入口；旧纳入标签不作为正式论断依据,2601.07262v3,23 Apr 2026,https://arxiv.org/abs/2601.07262v3,,misc,REC-000123.pdf
WF-0130,WF-0130,MAGNET: Towards Adaptive GUI Agents with Memory-Driven Knowledge Evolution,Libo Sun and Jiwen Zhang and Siyuan Wang and Zhongyu Wei,2026,,2601.19199,1dd97b3a290abeef27ce0d8a5a87a96a30c71bd52c15ae282a7137ea3be1bfef,arxiv_identity_checked,candidate_reference,未有新主张的条目只作候选入口；旧纳入标签不作为正式论断依据,2601.19199v2,31 Jan 2026,https://arxiv.org/abs/2601.19199v2,,misc,REC-000130.pdf
WF-0131,WF-0131,CUA-Skill: Develop Skills for Computer Using Agent,Tianyi Chen and Yinheng Li and Michael Solodko and Sen Wang and Nan Jiang and Tingyuan Cui and Junheng Hao and Jongwoo Ko and Sara Abdali and Leon Xu and Suzhen Zheng and Hao Fan and Pashmina Cameron and Justin Wagle and Kazuhito Koishida,2026,,2601.21123,82522cd2423372817ba384bb3e094c91870fd06ebc8f537550c8c31e0e50f3ed,arxiv_identity_checked,candidate_reference,未有新主张的条目只作候选入口；旧纳入标签不作为正式论断依据,2601.21123v2,2 Feb 2026,https://arxiv.org/abs/2601.21123v2,,misc,REC-000131.pdf
WF-0134,WF-0134,Darwinian Memory: A Training-Free Self-Regulating Memory System for GUI Agent Evolution,Hongze Mi and Yibo Feng and WenJie Lu and Song Cao and Jinyuan Li and Yanming Li and Xuelin Zhang and Haotian Luo and Songyang Peng and He Cui and Tengfei Tian and Jun Fang and Hua Chai and Naiqiang Tan,2026,,2601.22528,8fcee5c5ea865661cc6f3ce8254a43d79ee9adcdd9205e0072db2ecef79b5641,arxiv_identity_checked,primary_mechanism,仅 claims.json 明确提取的主张准入；未提取的单元格保持未知,2601.22528v1,30 Jan 2026,https://arxiv.org/abs/2601.22528v1,,misc,REC-000134.pdf
WF-0136,WF-0136,Avenir-Web: Human-Experience-Imitating Multimodal Web Agents with Mixture of Grounding Experts,Aiden Yiliu Li and Xinyue Hao and Shilong Liu and Mengdi Wang,2026,,2602.02468,423779410dcedd4bd37523b4222172c0cb553fb9eccf0955d9e31e614d055b45,arxiv_identity_checked,candidate_reference,未有新主张的条目只作候选入口；旧纳入标签不作为正式论断依据,2602.02468v1,2 Feb 2026,https://arxiv.org/abs/2602.02468v1,,misc,REC-000136.pdf
WF-0139,WF-0139,UI-Mem: Self-Evolving Experience Memory for Online Reinforcement Learning in Mobile GUI Agents,Han Xiao and Guozhi Wang and Hao Wang and Shilong Liu and Yuxiang Chai and Yue Pan and Yufeng Zhou and Xiaoxin Chen and Yafei Wen and Hongsheng Li,2026,,2602.05832,76ff5d9fd0016668e942527ee17edfd4e0ab5c21a75ab9ed3c828a978b28b5f0,arxiv_identity_checked,candidate_reference,未有新主张的条目只作候选入口；旧纳入标签不作为正式论断依据,2602.05832v1,5 Feb 2026,https://arxiv.org/abs/2602.05832v1,,misc,REC-000139.pdf
WF-0140,WF-0140,MemGUI-Bench: Benchmarking Memory of Mobile GUI Agents in Dynamic Environments,Guangyi Liu and Pengxiang Zhao and Yaozhen Liang and Qinyi Luo and Shunye Tang and Yuxiang Chai and Weifeng Lin and Han Xiao and WenHao Wang and Siheng Chen and Zhengxi Lu and Gao Wu and Hao Wang and Liang Liu and Yong Liu,2026,,2602.06075,dd48c137911a2ff027fd1c1a970a6c33913d940af8cddaf96c505357a15442d6,arxiv_identity_checked,primary_evaluation,仅 claims.json 明确提取的主张准入；未提取的单元格保持未知,2602.06075v3,27 Aug 2026,https://arxiv.org/abs/2602.06075v3,,misc,REC-000140.pdf
WF-0142,WF-0142,Next-Gen CAPTCHAs: Leveraging the Cognitive Gap for Scalable and Diverse GUI-Agent Defense,Jiacheng Liu and Yaxin Luo and Jiacheng Cui and Xinyi Shang and Xiaohan Zhao and Zhiqiang Shen,2026,,2602.09012,8f2bdd2d05c37a681442ca2d2e38e34289c501a610cbbd986d7de09842eaaf73,arxiv_identity_checked,candidate_reference,未有新主张的条目只作候选入口；旧纳入标签不作为正式论断依据,2602.09012v2,21 Jun 2026,https://arxiv.org/abs/2602.09012v2,,misc,REC-000142.pdf
WF-0148,WF-0148,WebClipper: Efficient Evolution of Web Agents with Graph-based Trajectory Pruning,Junjie Wang and Zequn Xie and Dan Yang and Jie Feng and Yue Shen and Duolin Sun and Meixiu Long and Yihan Jiao and Zhehao Tan and Jian Wang and Peng Wei and Jinjie Gu,2026,,2602.12852,73a9978e2d9a246a0ada0baba7eb23ca5d682b03269c0a4b8cc2beaa4f212c83,arxiv_identity_checked,candidate_reference,未有新主张的条目只作候选入口；旧纳入标签不作为正式论断依据,2602.12852v2,8 May 2026,https://arxiv.org/abs/2602.12852v2,,misc,REC-000148.pdf
WF-0154,WF-0154,Mobile-Agent-v3.5: Multi-platform Fundamental GUI Agents,Haiyang Xu and Xi Zhang and Haowei Liu and Junyang Wang and Zhaozai Zhu and Shengjie Zhou and Xuhao Hu and Feiyu Gao and Junjie Cao and Zihua Wang and Zhiyuan Chen and Jitong Liao and Qi Zheng and Jiahui Zeng and Ze Xu and Shuai Bai and Junyang Lin and Jingren Zhou and Ming Yan,2026,,2602.16855,e3a845457184657cdcc3cb56d2d20b3634c6687f22f7cae9bd7b6284a326b31c,arxiv_identity_checked,candidate_reference,未有新主张的条目只作候选入口；旧纳入标签不作为正式论断依据,2602.16855v1,15 Feb 2026,https://arxiv.org/abs/2602.16855v1,,misc,REC-000154.pdf
